source_row,selection_id,View,Channel,begin_time,end_time,low_freq,high_freq,stable_id,source_stem,audio_duration_s,syllable_duration_s,frequency_box_valid,source_file
3,3,Spectrogram 1,1,0.789385504,0.944474488,920.9,14997.2,69ebaef1347396cf5ca4,guanyinya_2023-06-14-birdnet-13_10_11_01,11.898,0.155088984,True,audio/analysis_clips/guanyinya_2023-06-14-birdnet-13_10_11_01.wav
4,4,Spectrogram 1,1,1.153583231,1.320870225,657.8,13155.5,30edad1f12b39b7e3ba6,guanyinya_2023-06-14-birdnet-13_10_11_01,11.898,0.1672869939999999,True,audio/analysis_clips/guanyinya_2023-06-14-birdnet-13_10_11_01.wav
5,5,Spectrogram 1,1,1.409741441,1.636275912,460.4,15128.8,cc327ac22f5f67c9c68a,guanyinya_2023-06-14-birdnet-13_10_11_01,11.898,0.2265344710000001,True,audio/analysis_clips/guanyinya_2023-06-14-birdnet-13_10_11_01.wav
6,6,Spectrogram 1,1,1.850173302,2.142733468,0.0,14142.1,d4245fc4e37463055e9d,guanyinya_2023-06-14-birdnet-13_10_11_01,11.898,0.2925601659999999,True,audio/analysis_clips/guanyinya_2023-06-14-birdnet-13_10_11_01.wav
7,7,Spectrogram 1,1,2.289109588,2.458139155,855.1,12958.1,1b1b3b3866c07db5a9e4,guanyinya_2023-06-14-birdnet-13_10_11_01,11.898,0.1690295669999999,True,audio/analysis_clips/guanyinya_2023-06-14-birdnet-13_10_11_01.wav
8,8,Spectrogram 1,1,2.628911295,2.770059696,1512.9,14997.2,a63b52900944ae4ca195,guanyinya_2023-06-14-birdnet-13_10_11_01,11.898,0.1411484010000001,True,audio/analysis_clips/guanyinya_2023-06-14-birdnet-13_10_11_01.wav
9,9,Spectrogram 1,1,2.956514992,3.311999854,0.0,15063.0,7ef22d48e818a243e164,guanyinya_2023-06-14-birdnet-13_10_11_01,11.898,0.3554848620000004,True,audio/analysis_clips/guanyinya_2023-06-14-birdnet-13_10_11_01.wav
10,10,Spectrogram 1,1,3.388302564,3.715906261,394.7,14010.6,71e4d6fb30b7cb03574b,guanyinya_2023-06-14-birdnet-13_10_11_01,11.898,0.3276036970000002,True,audio/analysis_clips/guanyinya_2023-06-14-birdnet-13_10_11_01.wav
11,11,Spectrogram 1,1,3.888420974,4.071391124,657.8,13418.6,27e221f709d7f13eba7a,guanyinya_2023-06-14-birdnet-13_10_11_01,11.898,0.1829701499999996,True,audio/analysis_clips/guanyinya_2023-06-14-birdnet-13_10_11_01.wav
12,12,Spectrogram 1,1,4.229965254,4.350202781,1973.3,15128.8,06c3173ee95a2d2090db,guanyinya_2023-06-14-birdnet-13_10_11_01,11.898,0.1202375270000004,True,audio/analysis_clips/guanyinya_2023-06-14-birdnet-13_10_11_01.wav
13,13,Spectrogram 1,1,4.673250886,5.056616914,460.4,14602.6,aae1c597acd98d6ccb03,guanyinya_2023-06-14-birdnet-13_10_11_01,11.898,0.3833660280000002,True,audio/analysis_clips/guanyinya_2023-06-14-birdnet-13_10_11_01.wav
14,14,Spectrogram 1,1,5.162913858,5.45043838,65.8,14142.1,6349482b37a2bf4d0434,guanyinya_2023-06-14-birdnet-13_10_11_01,11.898,0.287524522,True,audio/analysis_clips/guanyinya_2023-06-14-birdnet-13_10_11_01.wav
15,15,Spectrogram 1,1,5.619467947,5.785012368,131.6,13352.8,f4813635a95fdd0223d8,guanyinya_2023-06-14-birdnet-13_10_11_01,11.898,0.1655444209999999,True,audio/analysis_clips/guanyinya_2023-06-14-birdnet-13_10_11_01.wav
16,16,Spectrogram 1,1,5.927903342,6.063824025,592.0,14997.2,c5cc8158006e87d1fd6f,guanyinya_2023-06-14-birdnet-13_10_11_01,11.898,0.1359206830000001,True,audio/analysis_clips/guanyinya_2023-06-14-birdnet-13_10_11_01.wav
17,17,Spectrogram 1,1,6.191031844,6.489011802,0.0,13747.5,eb3c69fe7964773526e0,guanyinya_2023-06-14-birdnet-13_10_11_01,11.898,0.297979958,True,audio/analysis_clips/guanyinya_2023-06-14-birdnet-13_10_11_01.wav
18,18,Spectrogram 1,1,6.597051319,6.956021328,0.0,14536.8,f45b1b66618d42a8dec3,guanyinya_2023-06-14-birdnet-13_10_11_01,11.898,0.3589700090000001,True,audio/analysis_clips/guanyinya_2023-06-14-birdnet-13_10_11_01.wav
19,19,Spectrogram 1,1,7.159902352,7.337644783,526.2,14142.1,9cdbfc996d1d6a1e62e0,guanyinya_2023-06-14-birdnet-13_10_11_01,11.898,0.1777424310000004,True,audio/analysis_clips/guanyinya_2023-06-14-birdnet-13_10_11_01.wav
20,20,Spectrogram 1,1,7.508416923,7.658278189,1381.3,15326.1,9652d893ad9e81601b30,guanyinya_2023-06-14-birdnet-13_10_11_01,11.898,0.1498612659999993,True,audio/analysis_clips/guanyinya_2023-06-14-birdnet-13_10_11_01.wav
21,21,Spectrogram 1,1,7.820337464,8.121802569,0.0,14668.4,af19d0e67ef263629a7d,guanyinya_2023-06-14-birdnet-13_10_11_01,11.898,0.3014651050000001,True,audio/analysis_clips/guanyinya_2023-06-14-birdnet-13_10_11_01.wav
22,22,Spectrogram 1,1,8.26976377,8.444021056,723.6,13352.8,43052c06a75fd31af750,guanyinya_2023-06-14-birdnet-13_10_11_01,11.898,0.1742572859999995,True,audio/analysis_clips/guanyinya_2023-06-14-birdnet-13_10_11_01.wav
23,23,Spectrogram 1,1,8.536377417,8.846521173,65.8,16378.6,09f1f1456e7e16b786ad,guanyinya_2023-06-14-birdnet-13_10_11_01,11.898,0.3101437559999986,True,audio/analysis_clips/guanyinya_2023-06-14-birdnet-13_10_11_01.wav
24,24,Spectrogram 1,1,8.942396893,9.285683746,65.8,15918.1,811c618f6f1431653cf8,guanyinya_2023-06-14-birdnet-13_10_11_01,11.898,0.3432868530000004,True,audio/analysis_clips/guanyinya_2023-06-14-birdnet-13_10_11_01.wav
