source_file,site,prob,is_gold,is_gold_manual,is_listened,max_bout_all,bout_dur_all,n_seg_all,max_bout,n_nontype1_total,n_distinct_nontype1,aci,duty_cycle,peak_rate
guanyinya_2023-06-02-birdnet-13_58_14,guanyinya,0.0,False,False,False,9.0,2.83733,37.0,0.0,0.0,0.0,350.8197021484375,0.3241802186083711,18.81167763157895
guanyinya_2023-06-02-birdnet-13_59_14,guanyinya,0.003925998052580331,False,False,False,9.0,3.954663333333333,36.0,3.0,0.0,0.0,358.3946533203125,0.2681951479605438,25.47216699801193
guanyinya_2023-06-02-birdnet-13_59_44,guanyinya,0.0,False,False,True,17.0,10.52533,36.0,3.0,0.0,0.0,355.0297241210937,0.26019728072514,27.66393442622951
guanyinya_2023-06-02-birdnet-14_00_14,guanyinya,0.0,False,False,False,7.0,1.2026633333333336,61.0,0.0,0.0,0.0,368.712646484375,0.2052785923753665,20.29220779220779
guanyinya_2023-06-02-birdnet-14_42_13,guanyinya,0.0,False,False,True,6.0,2.0613300000000017,35.0,0.0,0.0,0.0,346.43975830078125,0.252732604638763,21.360759493670887
guanyinya_2023-06-02-birdnet-14_42_43,guanyinya,0.0,False,False,False,12.0,5.109329999999999,26.0,0.0,0.0,0.0,352.0262451171875,0.3876299653425753,16.076341127922973
guanyinya_2023-06-02-birdnet-14_44_13,guanyinya,0.0,False,False,False,18.0,7.303996666666666,61.0,1.0,0.0,0.0,357.18341064453125,0.2236736870167955,28.30750893921335
guanyinya_2023-06-02-birdnet-14_46_43,guanyinya,0.0,False,False,False,7.0,2.0039966666666658,36.0,0.0,0.0,0.0,338.3348388671875,0.3543055185283924,11.945071482317532
guanyinya_2023-06-02-birdnet-14_47_43,guanyinya,0.0,False,False,False,8.0,4.419996666666666,37.0,3.0,0.0,0.0,362.703857421875,0.2969874700079978,25.920107719928183
guanyinya_2023-06-02-birdnet-14_49_13,guanyinya,0.0,False,False,True,5.0,1.1746633333333314,34.0,0.0,0.0,0.0,341.2387084960937,0.4625433217808584,10.230547550432275
guanyinya_2023-06-02-birdnet-15_21_12,guanyinya,0.0019548146523360385,False,False,False,19.0,7.587996666666667,54.0,0.0,0.0,0.0,344.4371643066406,0.4601439616102373,12.528968713789109
guanyinya_2023-06-02-birdnet-17_12_10,guanyinya,0.0,False,False,False,5.0,1.2066633333333383,50.0,0.0,0.0,0.0,360.416748046875,0.3255131964809384,14.434889434889437
guanyinya_2023-06-02-birdnet-17_13_10,guanyinya,0.0,False,False,False,4.0,1.433329999999998,47.0,0.0,0.0,0.0,352.0597839355469,0.3529725406558251,10.951661631419938
guanyinya_2023-06-02-birdnet-17_48_09,guanyinya,0.0,False,False,False,4.0,0.8879966666666697,43.0,1.0,0.0,0.0,349.41046142578125,0.1322314049586777,34.778225806451616
guanyinya_2023-06-02-birdnet-17_49_39,guanyinya,0.0,False,False,False,5.0,1.5959966666666667,39.0,1.0,0.0,0.0,348.46807861328125,0.1322314049586777,24.193548387096776
guanyinya_2023-06-02-birdnet-17_50_39,guanyinya,0.0,False,False,False,5.0,1.4386633333333343,57.0,1.0,0.0,0.0,353.2936096191406,0.1468941615569181,23.82032667876588
guanyinya_2023-06-02-birdnet-18_08_39,guanyinya,0.0,False,False,False,3.0,0.5186633333333334,46.0,0.0,0.0,0.0,357.2477722167969,0.2913889629432151,12.351326623970722
guanyinya_2023-06-02-birdnet-18_11_09,guanyinya,0.0,False,False,False,4.0,0.8586633333333324,41.0,0.0,0.0,0.0,348.9259338378906,0.3447080778459077,12.470997679814388
guanyinya_2023-06-02-birdnet-18_28_08,guanyinya,0.0,False,False,False,8.0,1.9266633333333336,45.0,0.0,0.0,0.0,346.2050476074219,0.9973340442548654,3.508420208500401
guanyinya_2023-06-02-birdnet-19_32_07,guanyinya,0.0,False,False,False,10.0,2.639996666666666,45.0,0.0,0.0,0.0,341.7384338378906,0.6771527592641963,4.429133858267717
guanyinya_2023-06-02-birdnet-19_32_37,guanyinya,0.0,False,False,False,7.0,2.131996666666669,41.0,0.0,0.0,0.0,345.8379211425781,0.2388696347640629,12.834821428571429
guanyinya_2023-06-02-birdnet-20_04_36,guanyinya,0.0,False,False,False,8.0,2.0586633333333326,64.0,0.0,0.0,0.0,352.82720947265625,0.2585977072780592,20.61855670103093
guanyinya_2023-06-02-birdnet-20_05_06,guanyinya,0.0,False,False,False,7.0,1.863996666666666,70.0,0.0,0.0,0.0,348.6663818359375,0.2023460410557184,22.233201581027668
guanyinya_2023-06-02-birdnet-20_05_36,guanyinya,0.00989360132270383,False,False,False,9.0,2.261330000000001,67.0,1.0,0.0,0.0,347.0127258300781,0.1511596907491335,29.98236331569665
guanyinya_2023-06-02-birdnet-20_06_06,guanyinya,0.0,False,False,False,10.0,2.7639966666666664,54.0,0.0,0.0,0.0,339.5944519042969,0.1442282058117835,29.343807763401102
guanyinya_2023-06-02-birdnet-20_08_06,guanyinya,0.0,False,False,False,7.0,1.557330000000004,46.0,0.0,0.0,0.0,340.04351806640625,0.1855505198613703,21.55172413793104
guanyinya_2023-06-02-birdnet-20_13_36,guanyinya,0.0019738214087631724,False,False,False,12.0,4.178663333333336,67.0,0.0,0.0,0.0,354.43634033203125,0.3057851239669421,15.257192676547517
guanyinya_2023-06-02-birdnet-20_14_06,guanyinya,0.005987610915787711,False,False,False,24.0,7.541329999999999,77.0,1.0,0.0,0.0,359.441650390625,0.2412689949346841,23.204419889502763
guanyinya_2023-06-02-birdnet-20_14_36,guanyinya,0.05960116185604398,False,False,False,10.0,3.057330000000004,61.0,0.0,0.0,0.0,347.70391845703125,0.165822447347374,23.110932475884244
