file,kind,source,base_recording,site,region,year,src_path
liangzhuang_2024-04-20-birdnet-11_25_34_01.wav,manual,manual_2person,liangzhuang_2024-04-20-birdnet-11_25_34,liangzhuang,polluted,2024,birdsongs/wav_manul_seg_final_bandpass/liangzhuang_2024-04-20-birdnet-11_25_34_01.wav
liangzhuang_2024-04-20-birdnet-11_25_34_02.wav,manual,manual_2person,liangzhuang_2024-04-20-birdnet-11_25_34,liangzhuang,polluted,2024,birdsongs/wav_manul_seg_final_bandpass/liangzhuang_2024-04-20-birdnet-11_25_34_02.wav
liangzhuang_2024-04-20-birdnet-11_26_04__bout_007.wav,pipeline,2024_ruleC,liangzhuang_2024-04-20-birdnet-11_26_04,liangzhuang,polluted,2024,tmp/test_knn_2024/song_selection/listen_2024/1_ruleC_song/liangzhuang_2024-04-20-birdnet-11_26_04__bout_007.wav
liangzhuang_2024-04-20-birdnet-11_26_34_01.wav,manual,manual_2person,liangzhuang_2024-04-20-birdnet-11_26_34,liangzhuang,polluted,2024,birdsongs/wav_manul_seg_final_bandpass/liangzhuang_2024-04-20-birdnet-11_26_34_01.wav
liangzhuang_2024-04-20-birdnet-12_12_34__bout_018.wav,pipeline,2024_ruleD,liangzhuang_2024-04-20-birdnet-12_12_34,liangzhuang,polluted,2024,tmp/test_knn_2024/song_selection/listen_2024/2_ruleD_song/liangzhuang_2024-04-20-birdnet-12_12_34__bout_018.wav
liangzhuang_2024-04-20-birdnet-12_13_04__bout_010.wav,pipeline,2024_ruleD,liangzhuang_2024-04-20-birdnet-12_13_04,liangzhuang,polluted,2024,tmp/test_knn_2024/song_selection/listen_2024/2_ruleD_song/liangzhuang_2024-04-20-birdnet-12_13_04__bout_010.wav
liangzhuang_2024-04-20-birdnet-12_13_34__bout_005.wav,pipeline,2024_ruleD,liangzhuang_2024-04-20-birdnet-12_13_34,liangzhuang,polluted,2024,tmp/test_knn_2024/song_selection/listen_2024/2_ruleD_song/liangzhuang_2024-04-20-birdnet-12_13_34__bout_005.wav
liangzhuang_2024-04-20-birdnet-12_14_04__bout_011.wav,pipeline,2024_ruleC,liangzhuang_2024-04-20-birdnet-12_14_04,liangzhuang,polluted,2024,tmp/test_knn_2024/song_selection/listen_2024/1_ruleC_song/liangzhuang_2024-04-20-birdnet-12_14_04__bout_011.wav
liangzhuang_2024-04-20-birdnet-12_15_34_01.wav,manual,manual_2person,liangzhuang_2024-04-20-birdnet-12_15_34,liangzhuang,polluted,2024,birdsongs/wav_manul_seg_final_bandpass/liangzhuang_2024-04-20-birdnet-12_15_34_01.wav
liangzhuang_2024-06-15-birdnet-12_07_44.wav,manual,manual_2person,liangzhuang_2024-06-15-birdnet-12_07_44,liangzhuang,polluted,2024,birdsongs/wav_manul_seg_final_bandpass/liangzhuang_2024-06-15-birdnet-12_07_44.wav
liangzhuang_2024-07-12-birdnet-05_36_19_01.wav,manual,manual_2person,liangzhuang_2024-07-12-birdnet-05_36_19,liangzhuang,polluted,2024,birdsongs/wav_manul_seg_final_bandpass/liangzhuang_2024-07-12-birdnet-05_36_19_01.wav
liangzhuang_2024-07-12-birdnet-05_38_49_01.wav,manual,manual_2person,liangzhuang_2024-07-12-birdnet-05_38_49,liangzhuang,polluted,2024,birdsongs/wav_manul_seg_final_bandpass/liangzhuang_2024-07-12-birdnet-05_38_49_01.wav
liangzhuang_2024-07-12-birdnet-05_39_19_02.wav,manual,manual_2person,liangzhuang_2024-07-12-birdnet-05_39_19,liangzhuang,polluted,2024,birdsongs/wav_manul_seg_final_bandpass/liangzhuang_2024-07-12-birdnet-05_39_19_02.wav
liangzhuang_2024-07-12-birdnet-05_39_49.wav,manual,manual_2person,liangzhuang_2024-07-12-birdnet-05_39_49,liangzhuang,polluted,2024,birdsongs/wav_manul_seg_final_bandpass/liangzhuang_2024-07-12-birdnet-05_39_49.wav
liangzhuang_2024-07-12-birdnet-05_46_49_01.wav,manual,manual_2person,liangzhuang_2024-07-12-birdnet-05_46_49,liangzhuang,polluted,2024,birdsongs/wav_manul_seg_final_bandpass/liangzhuang_2024-07-12-birdnet-05_46_49_01.wav
liangzhuang_2024-07-13-birdnet-05_39_02_01.wav,manual,manual_2person,liangzhuang_2024-07-13-birdnet-05_39_02,liangzhuang,polluted,2024,birdsongs/wav_manul_seg_final_bandpass/liangzhuang_2024-07-13-birdnet-05_39_02_01.wav
liangzhuang_2024-07-13-birdnet-05_41_32_01.wav,manual,manual_2person,liangzhuang_2024-07-13-birdnet-05_41_32,liangzhuang,polluted,2024,birdsongs/wav_manul_seg_final_bandpass/liangzhuang_2024-07-13-birdnet-05_41_32_01.wav
liangzhuang_2024-07-13-birdnet-05_43_02.wav,manual,manual_2person,liangzhuang_2024-07-13-birdnet-05_43_02,liangzhuang,polluted,2024,birdsongs/wav_manul_seg_final_bandpass/liangzhuang_2024-07-13-birdnet-05_43_02.wav
minqin_2023-06-03-birdnet-10_23_15_01.wav,manual,manual_2person,minqin_2023-06-03-birdnet-10_23_15,minqin,polluted,2023,birdsongs/wav_manul_seg_final_bandpass/minqin_2023-06-03-birdnet-10_23_15_01.wav
minqin_2023-06-11-birdnet-09_36_33.wav,manual,manual_2person,minqin_2023-06-11-birdnet-09_36_33,minqin,polluted,2023,birdsongs/wav_manul_seg_final_bandpass/minqin_2023-06-11-birdnet-09_36_33.wav
minqin_2023-07-04-birdnet-06_43_03__bout_009.wav,pipeline,2023_strongbout,minqin_2023-07-04-birdnet-06_43_03,minqin,polluted,2023,tmp/test_knn_2023/song_selection/listen_strongbout_noclass_song/minqin_2023-07-04-birdnet-06_43_03__bout_009.wav
minqin_2023-07-07-birdnet-16_50_52_01.wav,manual,manual_2person,minqin_2023-07-07-birdnet-16_50_52,minqin,polluted,2023,birdsongs/wav_manul_seg_final_bandpass/minqin_2023-07-07-birdnet-16_50_52_01.wav
minqin_2024-05-17-birdnet-10_13_10_01.wav,manual,manual_2person,minqin_2024-05-17-birdnet-10_13_10,minqin,polluted,2024,birdsongs/wav_manul_seg_final_bandpass/minqin_2024-05-17-birdnet-10_13_10_01.wav
minqin_2024-05-20-birdnet-05_56_42_01_01.wav,manual,manual_2person,minqin_2024-05-20-birdnet-05_56_42,minqin,polluted,2024,birdsongs/wav_manul_seg_final_bandpass/minqin_2024-05-20-birdnet-05_56_42_01_01.wav
minqin_2024-05-21-birdnet-05_58_55_01.wav,manual,manual_2person,minqin_2024-05-21-birdnet-05_58_55,minqin,polluted,2024,birdsongs/wav_manul_seg_final_bandpass/minqin_2024-05-21-birdnet-05_58_55_01.wav
minqin_2024-05-21-birdnet-06_09_55_01.wav,manual,manual_2person,minqin_2024-05-21-birdnet-06_09_55,minqin,polluted,2024,birdsongs/wav_manul_seg_final_bandpass/minqin_2024-05-21-birdnet-06_09_55_01.wav
minqin_2024-05-21-birdnet-07_32_56_01.wav,manual,manual_2person,minqin_2024-05-21-birdnet-07_32_56,minqin,polluted,2024,birdsongs/wav_manul_seg_final_bandpass/minqin_2024-05-21-birdnet-07_32_56_01.wav
minqin_2024-05-27-birdnet-18_01_48.wav,manual,manual_2person,minqin_2024-05-27-birdnet-18_01_48,minqin,polluted,2024,birdsongs/wav_manul_seg_final_bandpass/minqin_2024-05-27-birdnet-18_01_48.wav
minqin_2024-05-27-birdnet-18_02_18_01.wav,manual,manual_2person,minqin_2024-05-27-birdnet-18_02_18,minqin,polluted,2024,birdsongs/wav_manul_seg_final_bandpass/minqin_2024-05-27-birdnet-18_02_18_01.wav
minqin_2024-05-27-birdnet-18_09_48_01.wav,manual,manual_2person,minqin_2024-05-27-birdnet-18_09_48,minqin,polluted,2024,birdsongs/wav_manul_seg_final_bandpass/minqin_2024-05-27-birdnet-18_09_48_01.wav
minqin_2024-06-14-birdnet-11_55_46_01.wav,manual,manual_2person,minqin_2024-06-14-birdnet-11_55_46,minqin,polluted,2024,birdsongs/wav_manul_seg_final_bandpass/minqin_2024-06-14-birdnet-11_55_46_01.wav
shuanghe_2023-05-17-birdnet-17_22_58_01.wav,manual,manual_2person,shuanghe_2023-05-17-birdnet-17_22_58,shuanghe,polluted,2023,birdsongs/wav_manul_seg_final_bandpass/shuanghe_2023-05-17-birdnet-17_22_58_01.wav
shuanghe_2023-05-19-birdnet-14_09_17__bout_004.wav,pipeline,2023_ruleA,shuanghe_2023-05-19-birdnet-14_09_17,shuanghe,polluted,2023,tmp/test_knn_2023/song_selection/ruleA_song/shuanghe_2023-05-19-birdnet-14_09_17__bout_004.wav
shuanghe_2023-05-19-birdnet-18_09_36__bout_008.wav,pipeline,2023c_ruleD,shuanghe_2023-05-19-birdnet-18_09_36,shuanghe,polluted,2023,tmp/test_knn_2023/song_selection/listen_2023_catchup/2_ruleD_song/shuanghe_2023-05-19-birdnet-18_09_36__bout_008.wav
shuanghe_2023-05-21-birdnet-10_32_26__bout_005.wav,pipeline,2023c_ruleC,shuanghe_2023-05-21-birdnet-10_32_26,shuanghe,polluted,2023,tmp/test_knn_2023/song_selection/listen_2023_catchup/1_ruleC_song/shuanghe_2023-05-21-birdnet-10_32_26__bout_005.wav
shuanghe_2023-05-21-birdnet-10_32_56_01.wav,manual,manual_2person,shuanghe_2023-05-21-birdnet-10_32_56,shuanghe,polluted,2023,birdsongs/wav_manul_seg_final_bandpass/shuanghe_2023-05-21-birdnet-10_32_56_01.wav
