source_file,n_seg_all,max_bout_all,bout_dur_all,active_dur_all
guanyinya_2023-06-03-birdnet-05_41_24,44,8,3.1533300000000004,12.342520000000027
guanyinya_2023-06-03-birdnet-05_55_54,31,4,1.550663333333333,7.397230000000009
guanyinya_2023-06-03-birdnet-06_00_24,46,8,3.0919966666666667,14.238513333333364
guanyinya_2023-06-03-birdnet-06_00_54,42,3,1.458663333333333,12.021193333333358
guanyinya_2023-06-03-birdnet-06_01_24,50,5,1.9079966666666657,9.597166666666723
guanyinya_2023-06-03-birdnet-06_02_54,48,9,5.121330000000004,15.585173333333369
guanyinya_2023-06-03-birdnet-06_03_24,58,18,7.111996666666666,13.398473333333374
guanyinya_2023-06-03-birdnet-06_13_53,47,10,3.3306633333333338,9.247843333333368
guanyinya_2023-06-03-birdnet-06_23_23,58,4,1.4573300000000025,9.341140000000042
guanyinya_2023-06-03-birdnet-06_23_53,58,12,4.889329999999999,10.042473333333387
guanyinya_2023-06-03-birdnet-06_33_53,44,11,6.731996666666667,15.466520000000019
guanyinya_2023-06-03-birdnet-07_20_52,52,10,2.9773300000000003,9.65582666666671
guanyinya_2023-06-03-birdnet-07_21_52,42,7,2.057330000000004,5.55719333333335
guanyinya_2023-06-03-birdnet-07_40_52,68,13,3.5599966666666663,15.461106666666717
guanyinya_2023-06-03-birdnet-07_43_52,32,10,3.92933,10.677226666666705
guanyinya_2023-06-03-birdnet-07_55_51,44,9,2.695996666666666,12.631853333333353
guanyinya_2023-06-03-birdnet-07_56_51,24,12,4.5893299999999995,5.0092533333333265
guanyinya_2023-06-03-birdnet-07_57_21,36,8,3.2719966666666664,10.850546666666698
guanyinya_2023-06-03-birdnet-08_00_51,49,12,4.498663333333333,11.634503333333367
guanyinya_2023-06-03-birdnet-08_05_51,44,9,2.7053299999999982,9.369186666666677
guanyinya_2023-06-03-birdnet-08_17_21,56,9,2.145330000000005,7.517146666666712
guanyinya_2023-06-03-birdnet-08_18_21,37,12,3.259996666666667,6.374543333333353
guanyinya_2023-06-03-birdnet-08_31_20,27,6,2.0479966666666654,7.681243333333342
guanyinya_2023-06-03-birdnet-08_31_50,53,35,11.670663333333337,11.90515666666672
guanyinya_2023-06-03-birdnet-08_35_50,46,7,2.274663333333333,11.073180000000042
guanyinya_2023-06-03-birdnet-08_36_20,45,7,2.0413300000000056,8.266516666666696
guanyinya_2023-06-03-birdnet-08_36_50,56,13,4.482663333333338,12.813146666666741
guanyinya_2023-06-03-birdnet-08_37_20,58,11,4.418663333333333,11.93580666666671
guanyinya_2023-06-03-birdnet-08_40_20,34,8,5.782663333333339,13.975886666666671
guanyinya_2023-06-03-birdnet-08_49_20,58,9,3.007996666666666,10.295806666666717
guanyinya_2023-06-03-birdnet-08_56_50,54,11,4.52533,13.165153333333377
guanyinya_2023-06-03-birdnet-08_59_20,71,13,3.933329999999997,7.727763333333412
guanyinya_2023-06-03-birdnet-09_54_49,37,10,3.3426633333333307,6.389210000000023
guanyinya_2023-06-03-birdnet-09_55_49,40,11,3.6946633333333327,8.153200000000027
guanyinya_2023-06-03-birdnet-10_18_18,38,4,1.2106633333333328,6.11454
guanyinya_2023-06-03-birdnet-10_34_48,51,4,0.8399966666666667,7.043830000000053
guanyinya_2023-06-03-birdnet-10_49_18,60,10,3.5173300000000047,10.38246666666674
guanyinya_2023-06-03-birdnet-11_09_47,39,4,1.798663333333332,6.026536666666704
guanyinya_2023-06-03-birdnet-11_24_47,36,7,2.1226633333333353,6.078546666666719
